mean	mean_e	FWHM	FWHM_e	N	N_e	A	T	E_tab	BR
330.142	0.012	4.449	0.024	32776	199	8990	301	121.78	28.32
708.319	0.031	4.744	0.069	6684	106	8990	301	244.70	7.51
1014.909	0.018	4.792	0.036	17215	147	8990	301	344.28	22.67
1220.588	0.088	4.810	0.218	1127	51	8990	301	411.12	2.27
1321.737	0.070	4.909	0.194	1553	69	8990	301	443.98	3.12
2352.910	0.048	5.299	0.110	3461	77	8990	301	778.91	12.96
2625.544	0.107	5.402	0.258	908	47	8990	301	867.38	4.23
2923.117	0.051	5.974	0.114	3344	67	8990	301	964.13	14.62
3298.123	0.088	5.055	0.260	1747	109	8990	301	1085.84	10.11
3378.989	0.074	5.984	0.220	2661	112	8990	301	1112.07	13.67
4289.793	0.058	6.363	0.128	3381	78	8990	301	1408.10	20.85
3566.422	0.058	6.039	0.124	2220	50	1240	429	1173.20	98.85
4056.727	0.062	6.110	0.138	1901	46	1240	429	1332.50	98.98
3556.479    0.022   6.002   0.061   16062   175 14390   8499    1173.20 98.85
4045.397    0.026   6.201   0.058   14671   150 14390   8499    1332.50 98.98
