sx  dx  par_0   par_1   par_2
520 530 400 527 4
681 692 400 687 3
693 702 400 696 3
854 868 400 861 4
987 1000    400 994 4
1027    1041    400 1035    5
1513    1533    400 1523    5
1737    1750    400 1745    5
1816    1832    400 1825    4
2181    2194    400 2187    4
2304    2320    400 2314    5
2360    2370    400 2367    5
2386    2402    400 2395    6
2589    2603    400 2597    7
2745    2754    400 2752    4
2813    2829    400 2822    5
2909    2921    400 2916    3
2922    2935    400 2930    4
3384    3401    400 3394    5
3743    3761    400 3754    5
3491    3507    400 3502    4
4176    4191    400 4184    4
4250    4262    400 4257    4
4271    4282    400 4277    4
4427    4450    400 4439    4
4543    4552    400 4547    4
4580    4593    400 4587    5
4822    4835    400 4830    4
4835    4850    400 4844    5
4921    4938    400 4930    4
4952    4966    400 4960    4
5047    5060    400 5055    5
5255    5272    400 5265    5
5362    5380    400 5372    5
5618    5634    400 5626    5
6400    6423    400 6411    7
6451    6466    400 6458    9
6712    6727    400 6721    6
7455    7474    400 7469    6
7968    7990    400 7982    6
